level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
class,Transgender female to male,ambiguous,mapped,1,1,NCT03194256,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender female-to-male,ambiguous,mapped,1,1,NCT03343483,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender female/Trans woman/Male-to-female,ambiguous,mapped,1,1,NCT03844321,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender females,ambiguous,mapped,1,1,NCT05123274,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender girl,ambiguous,mapped,1,1,NCT05408858,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender individuals,gender_diverse,mapped,1,1,NCT02796963,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender male,ambiguous,mapped,1,1,NCT01495598,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender male (F to M),ambiguous,mapped,1,1,NCT05142618,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender male (female to male),ambiguous,mapped,1,1,NCT02330419,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender male (female-to-male),ambiguous,mapped,1,1,NCT04283656,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender male or non-binary,ambiguous,mapped,1,1,NCT04865341,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender male to female,ambiguous,mapped,1,1,NCT05180500,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender male to female,ambiguous,mapped,1,1,NCT03194256,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender male-to-female,ambiguous,mapped,1,1,NCT03343483,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender male/Trans man/Female-to-male,ambiguous,mapped,1,1,NCT03844321,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender man,ambiguous,mapped,1,1,NCT06229132,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender men,ambiguous,mapped,1,1,NCT04050371,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender or Non-binary,gender_diverse,mapped,1,1,NCT05096260,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender or Other,gender_diverse,mapped,1,1,NCT04745065,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender or gender diverse,gender_diverse,mapped,1,1,NCT05393869,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender or non-binary,gender_diverse,mapped,1,1,NCT03163303,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender or other,gender_diverse,mapped,1,1,NCT03511937,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender or other gender identity,gender_diverse,mapped,1,1,NCT04381481,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender woman,ambiguous,mapped,1,1,NCT04408469,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender woman or gender-diverse,ambiguous,mapped,1,1,NCT03980223,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Transgender, Male to Female",ambiguous,mapped,1,1,NCT07204444,parsers.R@2026-08-17 / outcomes@2026-09-10
category,"Transgender, Other, Prefer not to answer",unknown,mapped,1,1,NCT02332239,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Transgender, gender nonconforming, or assigned male at birth",ambiguous,mapped,1,1,NCT04289116,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Transgender, genderqueer, or other identity not listed",unknown,mapped,1,1,NCT03860077,parsers.R@2026-08-17 / outcomes@2026-09-10
class,"Transgender, non-binary, or questioning",gender_diverse,mapped,1,1,NCT04136626,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender/Non-binary,gender_diverse,mapped,1,1,NCT06583096,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender/Not Reported,unknown,mapped,1,1,NCT03898557,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transgender/Other,gender_diverse,mapped,1,1,NCT03840525,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender/Transwoman,ambiguous,mapped,1,1,NCT01687218,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transgender/nonbinary,gender_diverse,mapped,1,1,NCT05564299,parsers.R@2026-08-17 / outcomes@2026-09-10
