name,n_trials,roles,agency_class,rules_sha256
Shionogi,76,"collaborator,lead",INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"The University of Texas Medical Branch, Galveston",76,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"PPD Development, LP",75,collaborator,INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections,74,"collaborator,lead",NETWORK,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Children's Mercy Hospital Kansas City,74,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Nationwide Children's Hospital,74,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Seattle Children's Hospital,72,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Sidney Kimmel Comprehensive Cancer Center at Thomas Jefferson University,72,lead,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"The Emmes Company, LLC",72,"collaborator,lead",INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Vanderbilt-Ingram Cancer Center,72,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Eastern Cooperative Oncology Group,71,"collaborator,lead",NETWORK,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Ohio State University Comprehensive Cancer Center,70,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Penn State University,70,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Louisville,70,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Baxter Healthcare Corporation,69,"collaborator,lead",INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Institut Bergonié,69,lead,OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Rhode Island Hospital,69,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Wake Forest University,68,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
C. R. Bard,67,"collaborator,lead",INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Loma Linda University,67,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Temple University,67,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
"University Health Network, Toronto",67,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Department of Health and Human Services,64,collaborator,FED,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
University of Vermont,64,"collaborator,lead",OTHER,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Cephalon,63,"collaborator,lead",INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
Pharmacyclics LLC.,63,"collaborator,lead",INDUSTRY,3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c
